20100603000745 13344.924  3882.082 55834.679 .
20100603000746 13344.972  3882.072 55834.674 .
20100603000747 13344.969  3882.105 55834.670 .
20100603000748 13344.903  3882.046 55834.681 .
20100603000749 13345.000  3882.057 55834.660 .
20100603000750 13344.931  3882.043 55834.650 .
20100603000751 13344.867  3881.995 55834.612 .
20100603000752 13344.894  3881.965 55834.620 .
20100603000753 13344.895  3881.956 55834.629 .
20100603000754 13344.837  3881.870 55834.630 .
20100603000755 13344.830  3881.795 55834.630 .
20100603000756 13344.783  3881.851 55834.642 .
20100603000757 13344.738  3881.842 55834.607 .
20100603000758 13344.727  3881.813 55834.629 .
20100603000759 13344.664  3881.766 55834.619 .
20100603000800 13344.620  3881.748 55834.622 .
20100603000801 13344.594  3881.764 55834.607 .
20100603000802 13344.537  3881.727 55834.589 .
20100603000803 13344.533  3881.681 55834.605 .
20100603000804 13344.630  3881.686 55834.664 .
20100603000805 13344.515  3881.675 55834.618 .
20100603000806 13344.601  3881.676 55834.580 .
20100603000807 13344.492  3881.634 55834.569 .
20100603000808 13344.586  3881.689 55834.575 .
20100603000809 13344.619  3881.690 55834.575 .
20100603000810 13344.594  3881.676 55834.547 .
20100603000811 13344.615  3881.688 55834.542 .
20100603000812 13344.645  3881.705 55834.583 .
20100603000813 13344.828  3881.808 55834.570 .
20100603000814 13344.826  3881.779 55834.593 .
20100603000815 13344.812  3881.731 55834.557 .
20100603000816 13344.865  3881.783 55834.567 .
20100603000817 13344.893  3881.815 55834.583 .
20100603000818 13344.938  3881.894 55834.534 .
20100603000819 13344.984  3881.876 55834.561 .
20100603000820 13344.966  3881.969 55834.544 .
20100603000821 13344.929  3881.968 55834.573 .
20100603000822 13344.998  3881.980 55834.560 .
20100603000823 13344.990  3881.944 55834.547 .
20100603000824 13345.025  3882.032 55834.535 .
20100603000825 13345.036  3882.075 55834.566 .
20100603000826 13345.045  3882.060 55834.550 .
20100603000827 13345.055  3881.992 55834.522 .
20100603000828 13345.025  3882.012 55834.531 .
20100603000829 13345.001  3881.980 55834.513 .
20100603000830 13344.949  3881.978 55834.569 .
20100603000831 13344.914  3881.958 55834.569 .
20100603000832 13344.878  3881.851 55834.544 .
20100603000833 13344.919  3881.818 55834.559 .
20100603000834 13344.919  3881.737 55834.529 .
20100603000835 13344.846  3881.690 55834.547 .
20100603000836 13344.816  3881.627 55834.529 .
20100603000837 13344.790  3881.521 55834.489 .
20100603000838 13344.762  3881.464 55834.500 .
20100603000839 13344.783  3881.449 55834.504 .
20100603000840 13344.763  3881.327 55834.483 .
20100603000841 13344.799  3881.266 55834.454 .
20100603000842 13344.788  3881.254 55834.472 .
20100603000843 13344.802  3881.196 55834.500 .
20100603000844 13344.767  3881.100 55834.478 .
20100603000845 13344.833  3881.092 55834.472 .
20100603000846 13344.859  3881.063 55834.481 .
20100603000847 13344.851  3881.002 55834.469 .
20100603000848 13344.852  3880.985 55834.439 .
20100603000849 13344.871  3881.012 55834.477 .
20100603000850 13344.928  3880.970 55834.486 .
20100603000851 13344.856  3880.952 55834.473 .
20100603000852 13344.904  3880.939 55834.468 .
